|Id|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_0|PAY_2|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT1|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT1|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6|Prediction|Score
0|0|20000.0|1.0|1.0|2.0|33.0|1.0|2.0|2.0|2.0|2.0|2.0|17971.0|17399.0|19057.0|18453.0|19755.0|19288.0|0.0|2260.0|0.0|1600.0|0.0|644.0|1|0.9014006853103638
1|1|20000.0|2.0|2.0|2.0|35.0|0.0|0.0|2.0|0.0|0.0|0.0|16528.0|19347.0|18600.0|19000.0|19000.0|20000.0|3400.0|0.0|1000.0|0.0|1000.0|0.0|1|0.5196174383163452
2|2|230000.0|2.0|1.0|1.0|44.0|1.0|-1.0|-1.0|-1.0|-1.0|-2.0|3884.0|949.0|2864.0|933.0|0.0|0.0|949.0|2873.0|933.0|0.0|0.0|0.0|1|0.5389767289161682
3|3|100000.0|1.0|2.0|1.0|42.0|0.0|0.0|0.0|0.0|0.0|0.0|98430.0|99998.0|16138.0|17758.0|18774.0|20272.0|5000.0|2000.0|2000.0|2000.0|2000.0|2000.0|0|0.5865455865859985
4|4|150000.0|1.0|1.0|2.0|29.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|4583.0|6917.0|831.0|6469.0|5138.0|7810.0|6989.0|833.0|6488.0|5153.0|7833.0|7130.0|0|0.6357443928718567
5|5|50000.0|1.0|2.0|2.0|25.0|-1.0|3.0|2.0|0.0|0.0|0.0|10695.0|10386.0|9993.0|9993.0|15300.0|0.0|0.0|0.0|200.0|5307.0|0.0|0.0|1|0.7038183212280273
6|6|140000.0|2.0|2.0|2.0|26.0|0.0|0.0|0.0|0.0|0.0|0.0|101551.0|105246.0|104781.0|105334.0|107699.0|106828.0|5366.0|5087.0|3605.0|3894.0|3785.0|3304.0|0|0.7017379999160767
7|7|280000.0|1.0|1.0|2.0|31.0|1.0|-1.0|-1.0|0.0|0.0|-2.0|0.0|3495.0|2783.0|2001.0|-339.0|-1180.0|3495.0|2783.0|0.0|0.0|0.0|0.0|0|0.5875464677810669
8|8|500000.0|2.0|1.0|2.0|36.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|10935.0|4079.0|3943.0|3338.0|1224.0|31022.0|4081.0|4283.0|3338.0|1224.0|31022.0|1088.0|0|0.7305691242218018
9|9|310000.0|2.0|2.0|1.0|44.0|-1.0|-1.0|-2.0|-2.0|-2.0|-2.0|500.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.5173254609107971
10|10|170000.0|2.0|2.0|1.0|42.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|415.0|415.0|415.0|415.0|1215.0|1390.0|415.0|415.0|415.0|1215.0|1390.0|1215.0|0|0.582930862903595
